SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;TRANSACTION_DATE;FEE_AMOUNT;SETTLEMENT_DATE;REAL_AMOUNT;TAXES_AMOUNT;BUSINESS_UNIT;SUB_UNIT;MONEY_RELEASE_DATE
173734816858;available_money;SETTLEMENT;1100.00;2026-08-13T20:49:26.000-04:00;0.00;2026-08-13T20:49:26.000-04:00;1100.00;0.00;;;2026-08-13T20:49:26.000-04:00
173732118108;available_money;SETTLEMENT;-20000.00;2026-08-13T20:30:28.000-04:00;0.00;2026-08-13T20:30:28.000-04:00;-20000.00;0.00;;;2026-08-13T20:30:28.000-04:00
173731061752;available_money;SETTLEMENT;4700.00;2026-08-13T20:27:10.000-04:00;0.00;2026-08-13T20:27:11.000-04:00;4700.00;0.00;;;2026-08-13T20:27:11.000-04:00
173730217906;bank_transfer;SETTLEMENT;4000.00;2026-08-13T20:21:21.000-04:00;0.00;2026-08-13T20:21:22.000-04:00;4000.00;0.00;;;2026-08-13T20:21:22.000-04:00
173729970440;bank_transfer;SETTLEMENT;6000.00;2026-08-13T20:16:15.000-04:00;0.00;2026-08-13T20:16:15.000-04:00;6000.00;0.00;;;2026-08-13T20:16:15.000-04:00
173726838920;available_money;SETTLEMENT;2000.00;2026-08-13T19:56:56.000-04:00;0.00;2026-08-13T19:56:57.000-04:00;2000.00;0.00;;;2026-08-13T19:56:57.000-04:00
172803733043;available_money;SETTLEMENT;1500.00;2026-08-13T19:56:28.000-04:00;0.00;2026-08-13T19:56:28.000-04:00;1500.00;0.00;;;2026-08-13T19:56:28.000-04:00
173726539462;available_money;SETTLEMENT;5000.00;2026-08-13T19:56:07.000-04:00;0.00;2026-08-13T19:56:08.000-04:00;5000.00;0.00;;;2026-08-13T19:56:08.000-04:00
172802140009;bank_transfer;SETTLEMENT;400.00;2026-08-13T19:48:58.000-04:00;0.00;2026-08-13T19:48:58.000-04:00;400.00;0.00;;;2026-08-13T19:48:58.000-04:00
173723345810;available_money;SETTLEMENT;200.00;2026-08-13T19:37:41.000-04:00;0.00;2026-08-13T19:37:42.000-04:00;200.00;0.00;;;2026-08-13T19:37:42.000-04:00
173723055510;available_money;SETTLEMENT;7500.00;2026-08-13T19:35:36.000-04:00;0.00;2026-08-13T19:35:37.000-04:00;7500.00;0.00;;;2026-08-13T19:35:37.000-04:00
173722811680;bank_transfer;SETTLEMENT;10000.00;2026-08-13T19:34:42.000-04:00;0.00;2026-08-13T19:34:42.000-04:00;10000.00;0.00;;;2026-08-13T19:34:42.000-04:00
172798107717;available_money;SETTLEMENT;-2000.00;2026-08-13T19:24:57.000-04:00;0.00;2026-08-13T19:24:58.000-04:00;-2000.00;0.00;;;2026-08-13T19:24:58.000-04:00
172792304805;available_money;SETTLEMENT;10500.00;2026-08-13T18:53:09.000-04:00;0.00;2026-08-13T18:53:10.000-04:00;10500.00;0.00;;;2026-08-13T18:53:10.000-04:00
173712951156;available_money;SETTLEMENT;3800.00;2026-08-13T18:41:06.000-04:00;0.00;2026-08-13T18:41:07.000-04:00;3800.00;0.00;;;2026-08-13T18:41:07.000-04:00
172788488457;available_money;SETTLEMENT;6000.00;2026-08-13T18:31:39.000-04:00;0.00;2026-08-13T18:31:39.000-04:00;6000.00;0.00;;;2026-08-13T18:31:39.000-04:00
172788284775;available_money;SETTLEMENT;2000.00;2026-08-13T18:31:03.000-04:00;0.00;2026-08-13T18:31:03.000-04:00;2000.00;0.00;;;2026-08-13T18:31:03.000-04:00
172787896791;bank_transfer;SETTLEMENT;22000.00;2026-08-13T18:29:10.000-04:00;0.00;2026-08-13T18:29:10.000-04:00;22000.00;0.00;;;2026-08-13T18:29:10.000-04:00
172781716023;available_money;SETTLEMENT;1800.00;2026-08-13T17:58:56.000-04:00;0.00;2026-08-13T17:58:57.000-04:00;1800.00;0.00;;;2026-08-13T17:58:57.000-04:00
173704235838;bank_transfer;SETTLEMENT;2500.00;2026-08-13T17:55:31.000-04:00;0.00;2026-08-13T17:55:31.000-04:00;2500.00;0.00;;;2026-08-13T17:55:31.000-04:00
172780847259;available_money;SETTLEMENT;4500.00;2026-08-13T17:52:47.000-04:00;0.00;2026-08-13T17:52:47.000-04:00;4500.00;0.00;;;2026-08-13T17:52:47.000-04:00
173701636976;available_money;SETTLEMENT;4000.00;2026-08-13T17:40:29.000-04:00;0.00;2026-08-13T17:40:29.000-04:00;4000.00;0.00;;;2026-08-13T17:40:29.000-04:00
173700696502;available_money;SETTLEMENT;3000.00;2026-08-13T17:34:44.000-04:00;0.00;2026-08-13T17:34:44.000-04:00;3000.00;0.00;;;2026-08-13T17:34:44.000-04:00
172776664401;available_money;SETTLEMENT;1000.00;2026-08-13T17:29:21.000-04:00;0.00;2026-08-13T17:29:21.000-04:00;1000.00;0.00;;;2026-08-13T17:29:21.000-04:00
173698022636;bank_transfer;SETTLEMENT;4400.00;2026-08-13T17:21:51.000-04:00;0.00;2026-08-13T17:21:52.000-04:00;4400.00;0.00;;;2026-08-13T17:21:52.000-04:00
173695408098;available_money;SETTLEMENT;6000.00;2026-08-13T17:09:44.000-04:00;0.00;2026-08-13T17:09:45.000-04:00;6000.00;0.00;;;2026-08-13T17:09:44.000-04:00
172745283361;available_money;SETTLEMENT;3500.00;2026-08-13T14:22:35.000-04:00;0.00;2026-08-13T14:22:35.000-04:00;3500.00;0.00;;;2026-08-13T14:22:35.000-04:00
172739727247;bank_transfer;SETTLEMENT;24000.00;2026-08-13T13:42:26.000-04:00;0.00;2026-08-13T13:42:27.000-04:00;24000.00;0.00;;;2026-08-13T13:42:26.000-04:00
172736359927;available_money;SETTLEMENT;500.00;2026-08-13T13:22:31.000-04:00;0.00;2026-08-13T13:22:31.000-04:00;500.00;0.00;;;2026-08-13T13:22:31.000-04:00
173658401274;available_money;SETTLEMENT;3000.00;2026-08-13T13:16:33.000-04:00;0.00;2026-08-13T13:16:33.000-04:00;3000.00;0.00;;;2026-08-13T13:16:33.000-04:00
173658159756;available_money;SETTLEMENT;4500.00;2026-08-13T13:16:08.000-04:00;0.00;2026-08-13T13:16:09.000-04:00;4500.00;0.00;;;2026-08-13T13:16:09.000-04:00
172732322301;bank_transfer;SETTLEMENT;500.00;2026-08-13T12:53:01.000-04:00;0.00;2026-08-13T12:53:01.000-04:00;500.00;0.00;;;2026-08-13T12:53:01.000-04:00
172731801207;bank_transfer;SETTLEMENT;4500.00;2026-08-13T12:51:48.000-04:00;0.00;2026-08-13T12:51:49.000-04:00;4500.00;0.00;;;2026-08-13T12:51:49.000-04:00
172729865767;bank_transfer;SETTLEMENT;20000.00;2026-08-13T12:41:37.000-04:00;0.00;2026-08-13T12:41:37.000-04:00;20000.00;0.00;;;2026-08-13T12:41:37.000-04:00
172729994321;bank_transfer;SETTLEMENT;300.00;2026-08-13T12:39:05.000-04:00;0.00;2026-08-13T12:39:05.000-04:00;300.00;0.00;;;2026-08-13T12:39:05.000-04:00
173651897394;available_money;SETTLEMENT;20500.00;2026-08-13T12:35:49.000-04:00;0.00;2026-08-13T12:35:50.000-04:00;20500.00;0.00;;;2026-08-13T12:35:50.000-04:00
172724056857;available_money;SETTLEMENT;800.00;2026-08-13T12:06:47.000-04:00;0.00;2026-08-13T12:06:47.000-04:00;800.00;0.00;;;2026-08-13T12:06:47.000-04:00
172719133923;available_money;SETTLEMENT;1000.00;2026-08-13T11:41:21.000-04:00;0.00;2026-08-13T11:41:21.000-04:00;1000.00;0.00;;;2026-08-13T11:41:21.000-04:00
173635523328;bank_transfer;SETTLEMENT;2500.00;2026-08-13T11:06:41.000-04:00;0.00;2026-08-13T11:06:41.000-04:00;2500.00;0.00;;;2026-08-13T11:06:41.000-04:00
173625415584;bank_transfer;SETTLEMENT;1000.00;2026-08-13T10:09:24.000-04:00;0.00;2026-08-13T10:09:24.000-04:00;1000.00;0.00;;;2026-08-13T10:09:24.000-04:00
